fp_ampl1,fp_ampl2,fp_ampl3,std_noise,CIRpower,RXPACC,fpindex,RX_power,FP_power,Pd,Pr,estimated_range,distance_GT,error,label
16136,17351,13527,48,8448,1052,744.544,-80.508,-81.48,0.972,1.012073334,13581,13519.99331,61.00669379,0
15538,19322,15578,48,55296,1050,743.456,-80.336,-81.254,0.918,1.011427007,13614,13519.99331,94.00669379,0
18551,19039,14074,56,25600,1052,749.864,-80.05,-82.969,2.919,1.03646471,13612,13519.99331,92.00669379,0
15898,16872,13946,52,6400,1050,748.776,-80.464,-81.439,0.975,1.01211722,13604,13519.99331,84.00669379,0
17185,18922,12774,44,61184,1049,747.744,-80.182,-81.012,0.83,1.01035145,13570,13519.99331,50.00669379,0
17168,16777,10235,52,46848,1052,746.672,-80.369,-81.061,0.692,1.008610285,13596,13519.99331,76.00669379,0
18678,17475,10444,52,31232,1050,745.616,-80.155,-82.869,2.714,1.033859397,13592,13519.99331,72.00669379,0
12997,18429,15852,44,19456,1049,745.584,-80.433,-81.375,0.942,1.011711611,13570,13519.99331,50.00669379,0
16891,19753,15135,48,6144,1051,744.52,-81.852,-82.803,0.951,1.011618531,13610,13519.99331,90.00669379,0
16861,18483,13996,48,58112,1050,743.48,-80.369,-81.433,1.064,1.013238935,13589,13519.99331,69.00669379,0
18680,18325,10873,52,30976,1019,749.872,-80.458,-81.119,0.661,1.008215466,13576,13519.99331,56.00669379,0
15636,17805,13832,40,24320,1020,749.84,-80.314,-81.367,1.053,1.013111039,13604,13519.99331,84.00669379,0
10834,18460,16869,44,17152,1051,749.832,-80.283,-81.056,0.773,1.009628439,13582,13519.99331,62.00669379,0
15103,18176,14810,52,5888,1049,748.768,-80.478,-81.509,1.031,1.012810955,13588,13519.99331,68.00669379,0
17963,19379,12646,52,61952,1020,747.736,-81.89,-82.574,0.684,1.008352668,13573,13519.99331,53.00669379,0
15329,17288,13188,44,57344,1050,747.736,-80.279,-81.261,0.982,1.01223234,13584,13519.99331,64.00669379,0
18164,17877,11667,44,45568,1049,746.672,-80.588,-81.362,0.774,1.009604408,13577,13519.99331,57.00669379,0
15212,18317,14498,48,39424,1020,746.648,-80.333,-81.378,1.045,1.013008353,13596,13519.99331,76.00669379,0
15989,16481,12916,40,24320,1050,745.584,-80.149,-81.111,0.962,1.012002645,13572,13519.99331,52.00669379,0
14117,19765,18443,52,17664,1021,745.576,-80.083,-82.896,2.813,1.035126057,13613,13519.99331,93.00669379,0
18584,17835,11226,48,13568,1052,744.544,-80.423,-81.228,0.805,1.010009574,13595,13519.99331,75.00669379,0
18273,18521,11275,48,63232,1050,743.48,-80.262,-82.975,2.713,1.033801799,13572,13519.99331,52.00669379,0
13836,19684,16838,44,49664,1051,743.448,-80.153,-82.959,2.806,1.035008047,13621,13519.99331,101.0066938,0
17503,18283,13041,40,27136,1021,749.872,-80.462,-81.467,1.005,1.012490368,13589,13519.99331,69.00669379,0
19200,17512,10789,48,14080,1051,748.8,-80.004,-82.588,2.584,1.032298385,13595,13519.99331,75.00669379,0
11769,17320,15448,52,256,1050,748.768,-80.459,-81.2,0.741,1.00920966,13570,13519.99331,50.00669379,0
14693,18926,15008,52,56320,1021,747.712,-80.15,-81.099,0.949,1.011840299,13598,13519.99331,78.00669379,0
18630,19552,12687,44,29440,1050,745.608,-80.082,-82.734,2.652,1.033116056,13570,13519.99331,50.00669379,0
14490,19687,16708,56,18176,1021,745.576,-80.047,-82.917,2.87,1.035853936,13612,13519.99331,92.00669379,0
16884,18567,13916,56,9216,1051,744.544,-80.325,-81.38,1.055,1.013134143,13614,13519.99331,94.00669379,0
18020,18680,11921,52,62208,1050,743.48,-80.325,-81.038,0.713,1.008876439,13586,13519.99331,66.00669379,0
16915,18305,13773,48,41984,1051,742.416,-80.458,-81.531,1.073,1.013336151,13605,13519.99331,85.00669379,0
18132,16900,9451,40,32256,1050,749.872,-80.267,-82.915,2.648,1.032989896,13612,13519.99331,92.00669379,0
12361,18992,16580,48,17920,1020,749.832,-80.171,-81.009,0.838,1.010452657,13587,13519.99331,67.00669379,0
15234,17878,14364,44,6656,1051,748.776,-80.485,-81.526,1.041,1.012934087,13573,13519.99331,53.00669379,0
16993,17440,12084,44,60416,1050,747.744,-80.369,-81.286,0.917,1.011409872,13570,13519.99331,50.00669379,0
18511,18817,13183,52,43776,1020,746.68,-80.052,-82.971,2.919,1.036463799,13612,13519.99331,92.00669379,0
15686,19757,16477,52,36096,1051,746.648,-80.247,-81.182,0.935,1.011651526,13615,13519.99331,95.00669379,0
13093,18183,15446,44,20480,1049,745.576,-80.381,-81.328,0.947,1.011781391,13567,13519.99331,47.00669379,0
15472,18128,13483,44,9216,1020,744.544,-80.227,-81.191,0.964,1.012015905,13590,13519.99331,70.00669379,0
18994,17019,9725,44,65024,1051,743.488,-80.067,-82.585,2.518,1.031448662,13608,13519.99331,88.00669379,0
16237,19171,13697,44,26880,1051,749.872,-81.936,-82.762,0.826,1.010081039,13600,13519.99331,80.00669379,0
15838,17735,14625,48,6656,1049,748.776,-80.574,-81.614,1.04,1.012907389,13592,13519.99331,72.00669379,0
17357,16358,11251,48,60672,1020,747.744,-80.302,-81.087,0.785,1.009775597,13573,13519.99331,53.00669379,0
15611,18196,13911,40,57088,1050,747.712,-80.219,-81.265,1.046,1.013039305,13590,13519.99331,70.00669379,0
16931,17675,12696,44,43264,1049,746.68,-80.465,-81.378,0.913,1.011346548,13591,13519.99331,71.00669379,0
17277,16744,9823,52,31232,1052,745.616,-80.547,-81.09,0.543,1.006741406,13582,13519.99331,62.00669379,0
