fp_ampl1;fp_ampl2;fp_ampl3;std_noise;CIRpower;RXPACC;fpindex;RX_power;FP_power;Pd;Pr;estimated_range;real_rng;label;location_from;location_to;msid;bias;rng_wo_bias;error;error_nobias;env;
675;1183;971;20;155,9670369;101;743;-88,721;-97,358;8,637;1,09735012;6,452;5,608;1;esl;hw;10;-0,005565627;6,457565627;0,849565627;0,844;eslhw;
477;924;921;24;152,9441328;101;738;-88,806;-98,971;10,165;1,114462987;6,382;5,608;1;esl;hw;10;-0,00645056;6,38845056;0,78045056;0,774;eslhw;
775;1227;950;24;142,998941;101;739;-89,098;-97,042;7,944;1,089160251;6,415;5,608;1;esl;hw;10;-0,006032072;6,421032072;0,813032072;0,807;eslhw;
2155;1959;3541;44;1029,041338;101;750;-80,527;-88,6;8,073;1,100252089;5,976;5,987;0;hw;hw;19;-0,011796924;5,987796924;0,000796924;-0,011;hwhw;
1147;3315;2883;44;1069,135675;101;748;-80,361;-88,684;8,323;1,10357014;5,95;5,987;0;hw;hw;19;-0,01215221;5,96215221;-0,02484779;-0,037;hwhw;
1166;3399;2683;44;1085,007703;101;744;-80,297;-88,792;8,495;1,105794737;5,966;5,987;0;hw;hw;19;-0,011933382;5,977933382;-0,009066618;-0,021;hwhw;
2277;1994;3313;44;1010,026623;101;750;-80,608;-88,786;8,178;1,10145395;5,953;5,987;0;hw;hw;19;-0,012111133;5,965111133;-0,021888867;-0,034;hwhw;
1820;2296;3454;44;1065,20408;101;745;-80,377;-88,705;8,328;1,10361173;5,945;5,987;0;hw;hw;19;-0,012220718;5,957220718;-0,029779282;-0,042;hwhw;
1188;3414;2788;44;1109,003256;101;749;-80,202;-88,637;8,435;1,105171941;5,953;5,987;0;hw;hw;19;-0,012111133;5,965111133;-0,021888867;-0,034;hwhw;
1169;3189;2981;44;1094,039044;101;744;-80,261;-88,725;8,464;1,10545595;5,941;5,987;0;hw;hw;19;-0,012275568;5,953275568;-0,033724432;-0,046;hwhw;
1552;2665;3306;44;1067,168067;101;744;-80,369;-88,721;8,352;1,103920666;5,923;5,987;0;hw;hw;19;-0,012522864;5,935522864;-0,051477136;-0,064;hwhw;
2213;2089;3133;40;1000,075577;101;746;-80,651;-89,021;8,37;1,103780486;5,946;5,987;0;hw;hw;19;-0,012207012;5,958207012;-0,028792988;-0,041;hwhw;
1835;2285;3487;44;1034,982058;101;746;-80,502;-88,656;8,154;1,101289409;5,942;5,987;0;hw;hw;19;-0,012261852;5,954261852;-0,032738148;-0,045;hwhw;
1735;2449;3428;44;1062,998915;101;745;-80,386;-88,654;8,268;1,102853731;5,933;5,987;0;hw;hw;19;-0,012385381;5,945385381;-0,041614619;-0,054;hwhw;
1600;2511;3370;44;1071,106911;101;747;-80,353;-88,768;8,415;1,104725399;5,941;5,987;0;hw;hw;19;-0,012275568;5,953275568;-0,033724432;-0,046;hwhw;
1161;3193;2971;44;1079,028265;101;745;-80,321;-88,736;8,415;1,104767122;5,991;5,987;0;hw;hw;19;-0,011592679;6,002592679;0,015592679;0,004;hwhw;
1853;2294;3511;44;1033,077306;101;748;-80,51;-88,599;8,089;1,100471991;5,941;5,987;0;hw;hw;19;-0,012275568;5,953275568;-0,033724432;-0,046;hwhw;
1077;2969;2936;40;1029,989557;101;748;-80,523;-89,132;8,609;1,106913553;5,966;5,987;0;hw;hw;19;-0,011933382;5,977933382;-0,009066618;-0,021;hwhw;
1584;2555;3258;44;1048,172645;101;748;-80,447;-88,892;8,445;1,104975947;5,936;5,987;0;hw;hw;19;-0,012344183;5,948344183;-0,038655817;-0,051;hwhw;
1985;2070;3467;44;1049,138492;101;746;-80,443;-88,763;8,32;1,103427271;5,939;5,987;0;hw;hw;19;-0,012303007;5,951303007;-0,035696993;-0,048;hwhw;
1823;2331;3495;44;1062,998915;101;747;-80,386;-88,61;8,224;1,102306372;5,933;5,987;0;hw;hw;19;-0,012385381;5,945385381;-0,041614619;-0,054;hwhw;
1873;3419;2164;40;1045,039777;101;751;-80,46;-88,842;8,382;1,104175988;5,946;5,987;0;hw;hw;19;-0,012207012;5,958207012;-0,028792988;-0,041;hwhw;
1291;3172;2472;40;1032,126245;101;747;-80,514;-89,312;8,798;1,109272921;5,991;5,987;0;hw;hw;19;-0,011592679;6,002592679;0,015592679;0,004;hwhw;
1619;2778;3281;44;1038,084774;101;748;-80,489;-88,582;8,093;1,100547901;5,94;5,987;0;hw;hw;19;-0,012289286;5,952289286;-0,034710714;-0,047;hwhw;
1249;3466;2614;40;1100,101663;101;751;-80,237;-88,728;8,491;1,105823996;5,989;5,987;0;hw;hw;19;-0,011619881;6,000619881;0,013619881;0,002;hwhw;
2091;2208;3362;44;1028,093992;101;750;-80,531;-88,698;8,167;1,101414362;5,935;5,987;0;hw;hw;19;-0,012357914;5,947357914;-0,039642086;-0,052;hwhw;
1822;2267;3478;48;1045,039777;101;746;-80,46;-88,697;8,237;1,10237385;5,956;5,987;0;hw;hw;19;-0,012070078;5,968070078;-0,018929922;-0,031;hwhw;
2089;2122;3574;44;1057,140768;101;750;-80,41;-88,473;8,063;1,100273598;5,92;5,987;0;hw;hw;19;-0,012564155;5,932564155;-0,054435845;-0,067;hwhw;
1935;2310;3226;40;1010,026623;101;752;-80,608;-88,928;8,32;1,103215562;5,933;5,987;0;hw;hw;19;-0,012385381;5,945385381;-0,041614619;-0,054;hwhw;
1733;2451;3414;40;1082,013854;101;748;-80,309;-88,673;8,364;1,104147729;5,942;5,987;0;hw;hw;19;-0,012261852;5,954261852;-0,032738148;-0,045;hwhw;
1715;2482;3472;44;1065,20408;101;745;-80,377;-88,572;8,195;1,101957028;5,939;5,987;0;hw;hw;19;-0,012303007;5,951303007;-0,035696993;-0,048;hwhw;
5394;6048;5169;60;1815,234852;101;748;-78,062;-82,17;4,108;1,052624837;1,117;1,235;0;hw;hw;24;-0,109265779;1,226265779;-0,008734221;-0,118;hwhw;
5896;6151;4290;60;1877,296287;101;745;-77,916;-82,235;4,319;1,05543149;1,109;1,235;0;hw;hw;24;-0,109327224;1,218327224;-0,016672776;-0,126;hwhw;
6058;5623;3487;60;1815,234852;101;745;-78,062;-82,769;4,707;1,060298224;1,104;1,235;0;hw;hw;24;-0,109363473;1,213363473;-0,021636527;-0,131;hwhw;
5376;6281;5161;60;1788,26889;101;748;-78,127;-82,049;3,922;1,050200315;1,128;1,235;0;hw;hw;24;-0,109174554;1,237174554;0,002174554;-0,107;hwhw;
5932;6179;4109;60;1834,986279;101;751;-78,015;-82,271;4,256;1,054553611;1,137;1,235;0;hw;hw;24;-0,109094292;1,246094292;0,011094292;-0,098;hwhw;
4742;6205;5843;60;1829,080507;101;749;-78,029;-82,043;4,014;1,051442412;1,137;1,235;0;hw;hw;24;-0,109094292;1,246094292;0,011094292;-0,098;hwhw;
4388;6249;5620;56;1826,134752;101;749;-78,036;-82,289;4,253;1,054500487;1,128;1,235;0;hw;hw;24;-0,109174554;1,237174554;0,002174554;-0,107;hwhw;
6056;5887;3295;60;1848,982587;101;749;-77,982;-82,678;4,696;1,060219025;1,126;1,235;0;hw;hw;24;-0,10919171;1,23519171;0,00019171;-0,109;hwhw;
4861;5983;5373;60;1865,231844;101;746;-77,944;-82,367;4,423;1,056745869;1,104;1,235;0;hw;hw;24;-0,109363473;1,213363473;-0,021636527;-0,131;hwhw;
4734;6111;5462;60;1800,250007;101;747;-78,098;-82,303;4,205;1,053842608;1,131;1,235;0;hw;hw;24;-0,109148353;1,240148353;0,005148353;-0,104;hwhw;
5480;6115;5090;56;1803,154007;101;745;-78,091;-82,126;4,035;1,051670487;1,104;1,235;0;hw;hw;24;-0,109363473;1,213363473;-0,021636527;-0,131;hwhw;
5730;6141;4688;60;1891,179804;101;750;-77,884;-82,163;4,279;1,054940681;1,118;1,235;0;hw;hw;24;-0,109257805;1,227257805;-0,007742195;-0,117;hwhw;
6005;5824;3332;60;1878,161013;101;746;-77,914;-82,737;4,823;1,061901584;1,135;1,235;0;hw;hw;24;-0,109112556;1,244112556;0,009112556;-0,1;hwhw;
