,channel,bitrate,preamble,prf,tx_gain,T_N,T_W,T_E,T_Floor,antennaTypeAnchor,antennaTypeTag,x_tag,y_tag,z_tag,x_anchor,y_anchor,z_anchor,anchorNumber,LOS,RXPACC,fpindex,pkindex,fp_ampl1,fp_ampl2,fp_ampl3,pkpathampl,std_noise,RX_power,FP_power,LDEthreshold,t1,t2,t3,t4,t5,timestamp,estimated_range,actual_range,error,location_ID,newlabel,newlabeli,fpi,loc_tag,NLOS
42,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1518.0,46744.0,-,1333.0,3672.0,3234.0,-,92.0,-91.78,-111.737,-,-,-,-,-,-,151123188.0,4471.0,4704.247761332304,-233,10,good,1,730,10-10,NLOS
43,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1518.0,46511.0,-,1420.0,3937.0,2655.0,-,88.0,-91.599,-111.537,-,-,-,-,-,-,1747167202.0,4466.0,4704.247761332304,-238,10,good,1,726,10-10,NLOS
44,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,46102.0,-,1363.0,3524.0,2998.0,-,96.0,-91.412,-111.307,-,-,-,-,-,-,2033554301.0,4480.0,4704.247761332304,-224,10,good,1,720,10-10,NLOS
45,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1521.0,45706.0,-,2325.0,3218.0,3635.0,-,80.0,-92.77,-110.237,-,-,-,-,-,-,3865964777.0,4485.0,4704.247761332304,-219,10,good,1,714,10-10,NLOS
46,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,47362.0,-,3484.0,2531.0,4058.0,-,84.0,-91.369,-109.082,-,-,-,-,-,-,2108700322.0,4504.0,4704.247761332304,-200,10,good,1,740,10-10,NLOS
47,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,46738.0,-,1922.0,3654.0,3535.0,-,84.0,-91.857,-110.35,-,-,-,-,-,-,911342840.0,4471.0,4704.247761332304,-233,10,good,1,730,10-10,NLOS
48,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,46826.0,-,1480.0,3710.0,2663.0,-,92.0,-91.697,-111.271,-,-,-,-,-,-,370557116.0,4527.0,4704.247761332304,-177,10,good,1,731,10-10,NLOS
49,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,47002.0,-,1248.0,4000.0,3241.0,-,88.0,-90.038,-110.127,-,-,-,-,-,-,1215569393.0,4447.0,4704.247761332304,-257,10,good,1,734,10-10,NLOS
50,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,45872.0,-,1832.0,3724.0,2511.0,-,92.0,-92.836,-111.362,-,-,-,-,-,-,1528505455.0,4522.0,4704.247761332304,-182,10,good,1,716,10-10,NLOS
51,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1518.0,46535.0,-,3316.0,2702.0,3777.0,-,80.0,-91.597,-110.761,-,-,-,-,-,-,4227617722.0,4452.0,4704.247761332304,-252,10,good,1,727,10-10,NLOS
52,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,47330.0,-,1152.0,4083.0,3140.0,-,92.0,-90.00399999999999,-110.095,-,-,-,-,-,-,3763004592.0,4508.0,4704.247761332304,-196,10,good,1,739,10-10,NLOS
53,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,46469.0,-,3465.0,2678.0,4017.0,-,80.0,-91.691,-109.125,-,-,-,-,-,-,3922430507.0,4485.0,4704.247761332304,-219,10,good,1,726,10-10,NLOS
54,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,45258.0,-,2375.0,3204.0,3687.0,-,84.0,-93.72,-110.344,-,-,-,-,-,-,3392063732.0,4471.0,4704.247761332304,-233,10,good,1,707,10-10,NLOS
55,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,46394.0,-,1627.0,3973.0,2394.0,-,88.0,-91.096,-111.477,-,-,-,-,-,-,3087580789.0,4480.0,4704.247761332304,-224,10,good,1,724,10-10,NLOS
56,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,46416.0,-,2178.0,3566.0,3605.0,-,88.0,-91.731,-110.477,-,-,-,-,-,-,2870796371.0,4499.0,4704.247761332304,-205,10,good,1,725,10-10,NLOS
57,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,46371.0,-,1495.0,3741.0,2894.0,-,80.0,-91.553,-111.55,-,-,-,-,-,-,1814445186.0,4490.0,4704.247761332304,-214,10,good,1,724,10-10,NLOS
58,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,46225.0,-,1918.0,3407.0,3280.0,-,92.0,-91.717,-111.803,-,-,-,-,-,-,2726046971.0,4494.0,4704.247761332304,-210,10,good,1,722,10-10,NLOS
59,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,46421.0,-,1700.0,3634.0,3474.0,-,92.0,-91.645,-110.137,-,-,-,-,-,-,3164072521.0,4499.0,4704.247761332304,-205,10,good,1,725,10-10,NLOS
60,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,46421.0,-,1458.0,3428.0,3129.0,-,84.0,-91.718,-111.381,-,-,-,-,-,-,2565272632.0,4480.0,4704.247761332304,-224,10,good,1,725,10-10,NLOS
61,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,46032.0,-,1754.0,3589.0,3614.0,-,96.0,-91.32,-110.272,-,-,-,-,-,-,2633259968.0,4485.0,4704.247761332304,-219,10,good,1,719,10-10,NLOS
62,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1515.0,46080.0,-,4177.0,2429.0,4119.0,-,88.0,-91.57,-109.706,-,-,-,-,-,-,2346287510.0,4518.0,4704.247761332304,-186,10,good,1,720,10-10,NLOS
63,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,46156.0,-,2571.0,3215.0,3654.0,-,80.0,-91.233,-110.46,-,-,-,-,-,-,2507267382.0,4457.0,4704.247761332304,-247,10,good,1,721,10-10,NLOS
64,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,46187.0,-,1227.0,3887.0,2736.0,-,88.0,-91.66,-111.466,-,-,-,-,-,-,3621015860.0,4504.0,4704.247761332304,-200,10,good,1,721,10-10,NLOS
65,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,45258.0,-,2490.0,3127.0,3762.0,-,76.0,-92.0,-110.43,-,-,-,-,-,-,987518724.0,4461.0,4704.247761332304,-243,10,good,1,707,10-10,NLOS
66,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1515.0,47362.0,-,3854.0,2242.0,3810.0,-,84.0,-91.486,-109.016,-,-,-,-,-,-,3686575780.0,4527.0,4704.247761332304,-177,10,good,1,740,10-10,NLOS
67,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1518.0,46902.0,-,1413.0,4090.0,2659.0,-,96.0,-91.949,-111.749,-,-,-,-,-,-,4066397292.0,4518.0,4704.247761332304,-186,10,good,1,732,10-10,NLOS
68,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,45878.0,-,1230.0,4020.0,2539.0,-,92.0,-91.015,-111.464,-,-,-,-,-,-,1276874357.0,4499.0,4704.247761332304,-205,10,good,1,716,10-10,NLOS
69,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,46462.0,-,1647.0,3885.0,2204.0,-,96.0,-91.41,-111.199,-,-,-,-,-,-,2413371430.0,4522.0,4704.247761332304,-182,10,good,1,725,10-10,NLOS
70,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1514.0,47429.0,-,3466.0,2690.0,4016.0,-,84.0,-91.892,-109.144,-,-,-,-,-,-,531200103.0,4527.0,4704.247761332304,-177,10,good,1,741,10-10,NLOS
71,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1453.0,47174.0,-,2916.0,2515.0,3459.0,-,80.0,-91.688,-110.294,-,-,-,-,-,-,4151831395.0,4513.0,4704.247761332304,-191,10,good,1,737,10-10,NLOS
72,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1454.0,47454.0,-,1553.0,3602.0,3021.0,-,76.0,-91.436,-111.902,-,-,-,-,-,-,2262440495.0,4466.0,4704.247761332304,-238,10,good,1,741,10-10,NLOS
73,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1454.0,47447.0,-,1223.0,3363.0,2882.0,-,84.0,-91.062,-111.253,-,-,-,-,-,-,1148489778.0,4452.0,4704.247761332304,-252,10,good,1,741,10-10,NLOS
74,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1515.0,47297.0,-,3708.0,2562.0,4151.0,-,88.0,-91.604,-109.397,-,-,-,-,-,-,826869465.0,4508.0,4704.247761332304,-196,10,good,1,739,10-10,NLOS
75,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1518.0,46517.0,-,1432.0,4130.0,2682.0,-,88.0,-91.451,-111.834,-,-,-,-,-,-,835554798.0,4499.0,4704.247761332304,-205,10,good,1,726,10-10,NLOS
76,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1518.0,46956.0,-,1103.0,4147.0,2907.0,-,84.0,-91.458,-111.926,-,-,-,-,-,-,304739377.0,4485.0,4704.247761332304,-219,10,good,1,733,10-10,NLOS
77,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1454.0,47491.0,-,3882.0,1888.0,3866.0,-,92.0,-91.947,-109.269,-,-,-,-,-,-,1966209064.0,4532.0,4704.247761332304,-172,10,good,1,742,10-10,NLOS
78,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1515.0,45993.0,-,1437.0,4111.0,3094.0,-,80.0,-91.533,-110.206,-,-,-,-,-,-,1206691819.0,4480.0,4704.247761332304,-224,10,good,1,718,10-10,NLOS
79,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1518.0,46161.0,-,2524.0,3275.0,3738.0,-,84.0,-91.359,-110.557,-,-,-,-,-,-,4285828946.0,4504.0,4704.247761332304,-200,10,good,1,721,10-10,NLOS
80,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,46439.0,-,1146.0,3673.0,2682.0,-,84.0,-91.065,-111.063,-,-,-,-,-,-,3486013494.0,4518.0,4704.247761332304,-186,10,good,1,725,10-10,NLOS
81,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,46799.0,-,2223.0,3352.0,3352.0,-,92.0,-90.044,-110.019,-,-,-,-,-,-,1045981374.0,4466.0,4704.247761332304,-238,10,good,1,731,10-10,NLOS
82,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1515.0,46365.0,-,1273.0,3837.0,3041.0,-,80.0,-91.484,-111.732,-,-,-,-,-,-,298056309.0,4461.0,4704.247761332304,-243,10,good,1,724,10-10,NLOS
83,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,46666.0,-,3257.0,2840.0,3962.0,-,96.0,-90.056,-109.007,-,-,-,-,-,-,2945026911.0,4518.0,4704.247761332304,-186,10,good,1,729,10-10,NLOS
84,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,46370.0,-,967.0,3834.0,3036.0,-,100.0,-91.787,-111.599,-,-,-,-,-,-,750248059.0,4452.0,4704.247761332304,-252,10,good,1,724,10-10,NLOS
85,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1452.0,47115.0,-,2088.0,3353.0,3677.0,-,84.0,-91.835,-110.662,-,-,-,-,-,-,2270176643.0,4461.0,4704.247761332304,-243,10,good,1,736,10-10,NLOS
86,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1518.0,46373.0,-,3405.0,4476.0,3387.0,-,80.0,-90.143,-109.979,-,-,-,-,-,-,1529063046.0,4494.0,4704.247761332304,-210,10,good,1,724,10-10,NLOS
87,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,47031.0,-,1744.0,4248.0,2643.0,-,84.0,-91.923,-110.128,-,-,-,-,-,-,1509890538.0,4522.0,4704.247761332304,-182,10,good,1,734,10-10,NLOS
89,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,46346.0,-,2090.0,3333.0,3539.0,-,92.0,-91.512,-110.117,-,-,-,-,-,-,3923781257.0,4471.0,4704.247761332304,-233,10,good,1,724,10-10,NLOS
90,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,47340.0,-,1346.0,4309.0,2998.0,-,96.0,-91.847,-110.318,-,-,-,-,-,-,3614270118.0,4494.0,4704.247761332304,-210,10,good,1,739,10-10,NLOS
